language	task	model	subword_pooling	layer_pooling	train_size	dev_size	dev_loss	parameters	dev_acc	test_acc
Arabic	POS	bert-base-multilingual-cased	attn	6	6063	909	[0.34788183867931366, 0.22135672345757484, 0.18786709383130074, 0.1700443010777235, 0.15867488458752632, 0.15089244209229946, 0.14640022069215775, 0.14322225004434586, 0.14160285610705614, 0.14085180964320898, 0.13858211319893599, 0.13797434233129025, 0.13817084953188896, 0.13899165112525225, 0.138713457621634, 0.13845685590058565, 0.14158887043595314, 0.14380304515361786, 0.14315281342715025]	77869	0.9599112382843294	0.9601092896174864
Arabic	POS	bert-base-multilingual-cased	attn	6	6063	909	[0.23940669695536296, 0.17745219667752585, 0.15654194752375286, 0.14639044304688772, 0.13995200047890347, 0.13660495827595392, 0.13371823529402416, 0.13238695512215296, 0.13173000812530516, 0.131195729970932, 0.1315714195370674, 0.12983542581399282, 0.1317506859699885, 0.1317658637960752, 0.13113582034905752, 0.133891927699248, 0.13467656324307123, 0.13735253115495047, 0.1401658236980438, 0.14197538842757543, 0.14571810265382132]	77869	0.9627434377646062	0.9614593378334939
Arabic	POS	bert-base-multilingual-cased	attn	6	6063	909	[0.2336739222208659, 0.17750157316525778, 0.15781440635522206, 0.14712245712677638, 0.14126319587230682, 0.1378664324680964, 0.13556524962186814, 0.13407500286897023, 0.1346293364961942, 0.13463868995507558, 0.1368240684270859, 0.13489620884259543, 0.1357123667995135, 0.13771203060944875, 0.13758239994446436, 0.13956784506638845, 0.14179786841074626, 0.14283518493175507, 0.14238048444191614, 0.1444553737839063]	77869	0.9623346667055972	0.9611378977820636
Arabic	POS	bert-base-multilingual-cased	avg	6	6063	909	[0.38049858808517456, 0.24271882884204388, 0.20482011325657368, 0.18611828610301018, 0.17452495731413364, 0.16655849665403366, 0.1612866371870041, 0.15703355707228184, 0.1537889689207077, 0.1508074402809143, 0.1481666248291731, 0.14617267809808254, 0.14507359825074673, 0.1429857574403286, 0.14115718193352222, 0.14034735318273306, 0.13867810275405645, 0.13692269753664732, 0.13535864185541868, 0.13464337773621082, 0.13305919989943504, 0.13132670801132917, 0.12975880224257708, 0.12857896648347378, 0.12815293669700623, 0.12656903825700283, 0.1255235467106104, 0.12433310225605965, 0.12330728210508823, 0.12342745438218117, 0.12195531092584133, 0.12082553748041391, 0.12038774508982897, 0.11934525333344936, 0.11850758735090494, 0.11795333120971918, 0.11747142300009727, 0.11722568143159151, 0.11620376911014318, 0.11515071615576744, 0.11458445526659489, 0.11424698866903782, 0.11325363162904978, 0.11436017975211143, 0.11385433003306389, 0.11300009023398161, 0.11234343145042658, 0.11274523939937353, 0.11203214433044195, 0.11126093566417694, 0.11161876935511827, 0.11151955835521221, 0.1101560890674591, 0.11037973966449499, 0.11085794307291508, 0.11016813945025206, 0.1103347772732377, 0.10880042146891356, 0.10956464428454638, 0.10864284820854664, 0.10940633527934551, 0.10877158679068089, 0.10919412598013878, 0.10950318723917007, 0.10880091693252325, 0.10893474891781807, 0.10812063049525023, 0.10719684418290854, 0.1080508315935731, 0.1075513930991292, 0.10761385131627321, 0.10817786492407322, 0.10743674635887146, 0.10834486596286297, 0.10678354557603598, 0.10721890348941088, 0.1073140325024724, 0.10630336403846741, 0.10651102662086487, 0.10729474574327469, 0.10729385260492563, 0.10721745621412992, 0.1061068195849657, 0.10704445000737906]	39368	0.9677654822038599	0.9630343940855032
Arabic	POS	bert-base-multilingual-cased	avg	6	6063	909	[0.3821837268769741, 0.23945063538849354, 0.20234514400362968, 0.18392367474734783, 0.17380036041140556, 0.16702747531235218, 0.16180111654102802, 0.15751278586685658, 0.15461448580026627, 0.15222848765552044, 0.14957547560334206, 0.14746861346065998, 0.14601985178887844, 0.1445368193089962, 0.14301755279302597, 0.14054913818836212, 0.1390678184106946, 0.13759395107626915, 0.1365353288128972, 0.13478117436170578, 0.1337406812235713, 0.1327920351177454, 0.13131357729434967, 0.13010187726467848, 0.1288762092590332, 0.12756163347512484, 0.1267883712425828, 0.12601463310420513, 0.12499903608113527, 0.12433970626443624, 0.1235427688807249, 0.12221273593604565, 0.12158821057528257, 0.12151693645864725, 0.12027932144701481, 0.11995505262166262, 0.11959204450249672, 0.11877942737191916, 0.1184804392978549, 0.11837353371083736, 0.11694664601236582, 0.1175402570515871, 0.11678140703588724, 0.11593657545745373, 0.11664832755923271, 0.11620010808110237, 0.11525825597345829, 0.11471635475754738, 0.11471747327595949, 0.11471281293779612, 0.11428877338767052, 0.11297562252730131, 0.11343620158731937, 0.1133149703964591, 0.11334656924009323, 0.11290892958641052, 0.11232612002640963, 0.11233607865869999, 0.11178223136812449, 0.11182228848338127, 0.11189523339271545, 0.11125744879245758, 0.11128733959048986, 0.11117312405258417, 0.1115835402160883, 0.11084149405360222, 0.11070182174444199, 0.11145088728517294, 0.1110506821423769, 0.1105196475982666, 0.11147746350616217, 0.11083259992301464, 0.11104698292911053, 0.11122752074152231, 0.11043725442141294, 0.1109031941741705, 0.11137711815536022, 0.11022595595568419, 0.1099556339904666, 0.11036231834441423, 0.10959686245769262, 0.11103984620422125, 0.11126634199172258, 0.11043041944503784, 0.11137728299945593]	39368	0.9668311483546965	0.9636129861780778
Arabic	POS	bert-base-multilingual-cased	avg	6	6063	909	[0.24758783876895904, 0.18937335709730785, 0.16852936844031016, 0.15834060509999592, 0.15185100535551707, 0.14740590552488964, 0.14389808575312296, 0.1404561181863149, 0.13765945682923, 0.1355883449316025, 0.13303944915533067, 0.13112494796514512, 0.12937960227330525, 0.12802777340014776, 0.12568299472332, 0.12418185571829478, 0.12380905747413636, 0.12230434070030848, 0.12123699386914571, 0.12000724375247955, 0.11867817093928655, 0.11774281014998754, 0.11589913070201874, 0.11611428012450536, 0.11515686164299647, 0.11429265240828196, 0.1136243869860967, 0.11282189885775248, 0.11251886934041977, 0.1132882093389829, 0.11233051220575968, 0.11218341787656148, 0.11210712889830271, 0.1107091079155604, 0.11100343217452367, 0.110477943221728, 0.11050821294387182, 0.10945599675178527, 0.10955852468808493, 0.10890739659468333, 0.10950341969728469, 0.10913573205471039, 0.10886136541763941, 0.1086231013139089, 0.10878798713286718, 0.10858498662710189, 0.10769721418619156, 0.1082613006234169, 0.10832900702953338, 0.10834147681792577, 0.10884280105431875, 0.10795709292093912, 0.10860534906387329, 0.1078906203309695, 0.10824770182371139, 0.10814564079046249, 0.10814243207375208, 0.10843611806631089, 0.10820266952117284, 0.10811626215775808, 0.1082427571217219, 0.10826532294352849, 0.10815846820672353, 0.10842787573734919, 0.10837888071934382]	39368	0.9674735028759964	0.9644487303117968
Arabic	POS	bert-base-multilingual-cased	f+l	6	6063	909	[0.24443363348642985, 0.18825094004472095, 0.16769364674886067, 0.15786910156408945, 0.1507503181695938, 0.14594052731990814, 0.14183163543542227, 0.13850587209065754, 0.13574433823426565, 0.13382525543371837, 0.13156972080469131, 0.129447012146314, 0.1279219980041186, 0.1262662370999654, 0.12502090086539586, 0.12319704244534174, 0.12254222283760706, 0.12147578050692877, 0.12093942910432816, 0.12005183895428975, 0.11946960836648941, 0.11737901071707407, 0.1175442303220431, 0.1167090266942978, 0.11652174939711889, 0.11713198721408843, 0.11674949725468954, 0.11575633982817332, 0.11470596591631571, 0.11435883790254593, 0.11454655230045319, 0.11373083343108495, 0.11334503442049026, 0.1140006681283315, 0.11405678490797679, 0.11355156650145849, 0.11319620708624521, 0.11294979006052017, 0.11249775439500809, 0.11191894610722859, 0.11169524441162745, 0.11313956826925278, 0.11243773698806762, 0.11187567313512166, 0.11195258448521296, 0.11194517860809962, 0.11128211369117101, 0.11146375437577566, 0.11173128932714463, 0.11170817414919536, 0.11228189418713251, 0.1115226611495018, 0.1116308331489563, 0.11177299817403158, 0.1108503744006157, 0.11070389002561569, 0.11207030514876047, 0.11232801427443823, 0.11198440442482631, 0.11192529797554016, 0.11131999045610427]	39369	0.9656632310432421	0.9639665702346512
Arabic	POS	bert-base-multilingual-cased	f+l	6	6063	909	[0.24580598175525664, 0.1854572832584381, 0.16626301308472952, 0.15672452747821808, 0.15069055557250977, 0.14641774495442708, 0.14265832751989366, 0.14058359016974767, 0.13848678171634674, 0.13628032952547073, 0.13398743867874147, 0.13213258186976115, 0.130507958928744, 0.12859302858511606, 0.12760210037231445, 0.1263746107618014, 0.1246268833676974, 0.1233013187845548, 0.12253309736649196, 0.12126496930917104, 0.12137454897165298, 0.12086516072352728, 0.1201048657298088, 0.11876990497112275, 0.11851860384146372, 0.11791949123144149, 0.1173851912220319, 0.11824954648812612, 0.1170280913511912, 0.11664626648028692, 0.11663177212079366, 0.11675570259491602, 0.11579204797744751, 0.11588541567325591, 0.1155511905749639, 0.11536842832962672, 0.11515602171421051, 0.11502876033385595, 0.11462373485167822, 0.1149589737256368, 0.11447895069917043, 0.11530476212501525, 0.11484727164109548, 0.11466613759597143, 0.11449842105309169, 0.11401165475447973, 0.11410853614409765, 0.11427826682726543, 0.11447044710318248, 0.11419257521629333, 0.11428397595882415, 0.11402341425418853, 0.11384503295024236, 0.11385327428579331, 0.11414790203173955, 0.11363947888215382, 0.11388058761755625, 0.11351048946380615, 0.11313225328922272, 0.1143236498037974, 0.11430905958016714, 0.11383509834607443, 0.11422318617502848]	39369	0.9663347834973284	0.9641594342655094
Arabic	POS	bert-base-multilingual-cased	f+l	6	6063	909	[0.37189171090722084, 0.24167903698980808, 0.20375067554414272, 0.18469123542308807, 0.17332918010652065, 0.1659950166940689, 0.16030671447515488, 0.15635955333709717, 0.15296011045575142, 0.15026893839240074, 0.14834545366466045, 0.14661694504320621, 0.14510383643209934, 0.14346060901880264, 0.1413937034085393, 0.14064427092671394, 0.13902491610497236, 0.1378738097846508, 0.13662357069551945, 0.13522441498935223, 0.13368207961320877, 0.13189228530973196, 0.13127862010151148, 0.1291381660848856, 0.12897439766675234, 0.12777179479599, 0.12694883905351162, 0.12677769269794226, 0.12525289505720139, 0.12469254620373249, 0.12462283577769995, 0.12391083501279354, 0.12324321083724499, 0.12207676097750664, 0.12199547234922647, 0.1213177228346467, 0.12091172020882368, 0.12108604609966278, 0.12036916706711054, 0.1197900315746665, 0.11997778620570898, 0.11936793196946383, 0.11930023320019245, 0.11888844054192305, 0.11750971432775259, 0.11830542795360088, 0.11715956963598728, 0.11768182180821896, 0.11713569052517414, 0.11619277205318213, 0.11624679062515497, 0.11553440801799297, 0.1152830133214593, 0.1147245867177844, 0.11467349343001842, 0.11524947732686996, 0.11401754897087812, 0.11478186305612326, 0.1139566320925951, 0.11451634671539068, 0.11380171962082386, 0.11345187108963728, 0.11330399475991726, 0.11355795618146658, 0.11350062116980553, 0.11306293681263924, 0.11337618436664343, 0.11298268474638462, 0.11307124234735966, 0.11277371365576982, 0.11246656067669392, 0.11213281378149986, 0.11247887555509806, 0.11215045861899853, 0.1120835542678833, 0.11233017966151237, 0.11276083346456289, 0.1119671780616045, 0.1118801198899746, 0.11139723099768162, 0.1118667321279645, 0.11099598463624716, 0.11040723510086536, 0.11033656261861324, 0.1110451752319932, 0.11105327680706978, 0.11190176196396351, 0.1111962404102087, 0.11177787091583014, 0.1115235360339284, 0.11157518811523914]	39369	0.9668895442202692	0.964545162327226
Arabic	POS	bert-base-multilingual-cased	first	6	6063	909	[0.4589916653931141, 0.28766022995114326, 0.24155987240374088, 0.21899088844656944, 0.20579404011368752, 0.1967027559876442, 0.18973368406295776, 0.18409274332225323, 0.17993131838738918, 0.17506230250000954, 0.1721171773970127, 0.16888421028852463, 0.16539215296506882, 0.1624670084565878, 0.15948021225631237, 0.15722746402025223, 0.15533357299864292, 0.15324784070253372, 0.1508782934397459, 0.14952144213020802, 0.14747298415750265, 0.1470020292326808, 0.14482237957417965, 0.1437990516424179, 0.14222338516265154, 0.14191490970551968, 0.14082671515643597, 0.13983191456645727, 0.13949917256832123, 0.1382319452241063, 0.1377257378771901, 0.13686296995729208, 0.1365374131128192, 0.13591609615832567, 0.13547712285071611, 0.1353088254109025, 0.134684425778687, 0.13389480765908957, 0.13378270715475082, 0.13333319500088692, 0.13385857734829187, 0.13298968598246574, 0.13292364310473204, 0.13204160705208778, 0.13240545894950628, 0.13230855949223042, 0.13214618805795908, 0.13057459704577923, 0.1319031249731779, 0.13130063377320766, 0.1309532541781664, 0.13175145909190178, 0.13111330475658178, 0.1313395770266652, 0.13087761960923672, 0.13011210411787033, 0.12961093988269567, 0.13068851921707392, 0.1301086274906993, 0.12994182016700506, 0.12835778947919607, 0.12948933616280556, 0.12928531039506197, 0.1304983338341117, 0.13018506951630116, 0.12963017914444208]	39368	0.9625390522351017	0.9622950819672133
