language	task	model	subword_pooling	layer_pooling	train_size	dev_size	dev_loss	parameters	dev_acc	test_acc
Arabic	POS	bert-base-multilingual-cased	first	0	2000	200	[1.3170217275619507, 0.9778600037097931, 0.8520098924636841, 0.7945001423358917, 0.762013852596283, 0.7410358786582947, 0.7269552648067474, 0.7170082926750183, 0.7094374895095825, 0.7038125395774841, 0.6994011402130127, 0.6956313252449036, 0.6933099031448364, 0.6902875006198883, 0.688512533903122, 0.6867287456989288, 0.6850584447383881, 0.6833837032318115, 0.6828391551971436, 0.681678295135498, 0.6803548336029053, 0.6794599890708923, 0.6780880689620972, 0.6776163876056671, 0.6768841743469238, 0.6762606799602509, 0.6756435036659241, 0.6752474009990692, 0.6750965416431427, 0.6738455891609192, 0.6730519235134125, 0.6726491749286652, 0.6721218824386597, 0.6718818843364716, 0.6710286438465118, 0.6706235110759735, 0.670568972826004, 0.6698928773403168, 0.6685825884342194, 0.6691969335079193, 0.66832035779953, 0.6684654951095581, 0.6683620512485504, 0.6687943041324615, 0.6680809259414673, 0.6676323413848877, 0.667261153459549, 0.6673127710819244, 0.6671883165836334, 0.6674311757087708, 0.6668024063110352, 0.666856586933136, 0.6665014624595642, 0.665981650352478, 0.6662496328353882, 0.6664662957191467, 0.6664340794086456, 0.6663205325603485, 0.6662242710590363, 0.6654674410820007, 0.665414571762085, 0.6649279296398163, 0.6652733683586121, 0.6649198234081268, 0.6649215221405029, 0.6644311845302582, 0.6644440293312073, 0.6641791760921478, 0.6642698049545288, 0.6650813519954681, 0.6636715829372406, 0.6636688411235809, 0.663514107465744, 0.6644201874732971, 0.663417398929596, 0.6642519235610962, 0.6640695035457611, 0.6640090048313141, 0.6643963158130646, 0.6636496186256409]	39368	0.7630891851037516	0.7637250275287085
Arabic	POS	bert-base-multilingual-cased	first	0	2000	200	[1.4256394505500793, 0.9866064786911011, 0.8537047505378723, 0.7933202087879181, 0.7610073685646057, 0.7401939332485199, 0.7263861894607544, 0.7162107229232788, 0.70851069688797, 0.7029350399971008, 0.6984706521034241, 0.6947633922100067, 0.69207963347435, 0.6891640722751617, 0.6872751116752625, 0.685407817363739, 0.6835900545120239, 0.6825876235961914, 0.6809880435466766, 0.6799116432666779, 0.6786139607429504, 0.6775613129138947, 0.6766690313816071, 0.6756564080715179, 0.6752061247825623, 0.6743282079696655, 0.6737297475337982, 0.6731578409671783, 0.6722534596920013, 0.6720955669879913, 0.6712411940097809, 0.6709393262863159, 0.6703478097915649, 0.6704990863800049, 0.6700402796268463, 0.670240193605423, 0.6699227392673492, 0.6690209209918976, 0.6684309542179108, 0.6684256792068481, 0.668425053358078, 0.6674663424491882, 0.6672205924987793, 0.6674813032150269, 0.6665858626365662, 0.6665782034397125, 0.6668851971626282, 0.666795402765274, 0.6662126779556274, 0.6662253141403198, 0.6663006842136383, 0.6658633053302765, 0.6659744679927826, 0.6655570268630981, 0.6654069125652313, 0.6653209030628204, 0.6649843752384186, 0.664178192615509, 0.6641685664653778, 0.664263516664505, 0.6641296446323395, 0.6649015247821808, 0.664372444152832, 0.663858562707901, 0.6639740765094757, 0.6636218726634979, 0.6637943387031555, 0.6631674766540527, 0.6626479625701904, 0.6624088883399963, 0.6625257432460785, 0.6629337966442108, 0.663229376077652, 0.6635212004184723, 0.6629273295402527, 0.6620576977729797, 0.662118673324585, 0.6624835431575775, 0.6620795130729675, 0.6623445451259613, 0.6623688638210297, 0.6622448563575745, 0.6621548533439636, 0.662373423576355, 0.6622484624385834, 0.662626326084137, 0.6626790165901184, 0.662283331155777, 0.6631416976451874, 0.6623621881008148]	39368	0.7633640236361138	0.7645744848198835
Arabic	POS	bert-base-multilingual-cased	first	0	2000	200	[1.3857162594795227, 0.9770903289318085, 0.8468538522720337, 0.7879345118999481, 0.7570405602455139, 0.7379328906536102, 0.7246845662593842, 0.7154210805892944, 0.7081808149814606, 0.7029784619808197, 0.6986586451530457, 0.6948942840099335, 0.6917149126529694, 0.6890164613723755, 0.6870901882648468, 0.6845659613609314, 0.6827775537967682, 0.6809642612934113, 0.6796872317790985, 0.6782024502754211, 0.677486926317215, 0.6765266954898834, 0.6755488514900208, 0.6744426190853119, 0.6742781400680542, 0.6740178465843201, 0.6729750633239746, 0.6721236407756805, 0.6714405119419098, 0.6708075106143951, 0.6702094078063965, 0.6691595613956451, 0.6685554683208466, 0.668119341135025, 0.6680933833122253, 0.6675325930118561, 0.6670761406421661, 0.6668821275234222, 0.6664246022701263, 0.666088193655014, 0.6657651960849762, 0.6655079126358032, 0.6655300259590149, 0.6650537848472595, 0.664302408695221, 0.6638886034488678, 0.664043664932251, 0.6637010872364044, 0.6639305949211121, 0.663824200630188, 0.6629735827445984, 0.6624546647071838, 0.663040280342102, 0.6626884639263153, 0.6627568900585175, 0.6624371111392975, 0.6624472439289093, 0.6621101498603821, 0.6618892550468445, 0.6618067920207977, 0.6617195904254913, 0.661585658788681, 0.6612562537193298, 0.6620608270168304, 0.6623566448688507, 0.661736786365509, 0.6612034738063812, 0.6610928177833557]	39368	0.7630891851037516	0.7603985856637737
Arabic	POS	bert-base-multilingual-cased	last	0	2000	200	[1.277179777622223, 0.8523513376712799, 0.7180210053920746, 0.66024249792099, 0.6280151009559631, 0.6077367067337036, 0.5941845774650574, 0.5843302309513092, 0.576246440410614, 0.5702718794345856, 0.5644288957118988, 0.5600651502609253, 0.5560167133808136, 0.5522577166557312, 0.5494016408920288, 0.5466805100440979, 0.5434845089912415, 0.5413831472396851, 0.5388292372226715, 0.5368005037307739, 0.5356507301330566, 0.534416675567627, 0.5327634513378143, 0.5302279889583588, 0.529078483581543, 0.5283982753753662, 0.5273661911487579, 0.5271650850772858, 0.5267033874988556, 0.5259813070297241, 0.5245599150657654, 0.5241286754608154, 0.5238537192344666, 0.5226421654224396, 0.5225616693496704, 0.5227842926979065, 0.5226455330848694, 0.5222447514533997, 0.5221145749092102, 0.5210526883602142, 0.5211904644966125, 0.522009551525116, 0.5215761363506317, 0.5206694602966309, 0.5207086801528931, 0.5209647119045258, 0.5212728977203369, 0.5212084054946899, 0.5209351480007172, 0.5208153426647186, 0.5204901695251465, 0.5195324718952179, 0.5188634693622589, 0.5200150012969971, 0.5196757316589355, 0.5196368992328644, 0.5205754637718201, 0.5199500024318695, 0.5201376378536224, 0.5201934576034546, 0.5210708975791931, 0.5207129120826721, 0.520525187253952]	39368	0.813522055792222	0.8073931211828994
Arabic	POS	bert-base-multilingual-cased	last	0	2000	200	[1.2914324402809143, 0.8608459830284119, 0.7200112640857697, 0.6604548096656799, 0.6264450550079346, 0.6062289774417877, 0.5930870771408081, 0.5830799639225006, 0.5749156177043915, 0.5688398778438568, 0.5639264285564423, 0.5590609610080719, 0.5553448796272278, 0.552475094795227, 0.5489518940448761, 0.5459258556365967, 0.5431413054466248, 0.5409356951713562, 0.5382387042045593, 0.5369442403316498, 0.5351861119270325, 0.5340998768806458, 0.5324536561965942, 0.5317510664463043, 0.5310541689395905, 0.5296599864959717, 0.528258353471756, 0.52749103307724, 0.5265907347202301, 0.5257993638515472, 0.5251204371452332, 0.524340033531189, 0.5237088799476624, 0.5232856869697571, 0.5235259532928467, 0.5221686363220215, 0.5211668610572815, 0.5210566818714142, 0.5210325121879578, 0.5211640298366547, 0.5202649235725403, 0.5201660990715027, 0.520099014043808, 0.5199274718761444, 0.5200055241584778, 0.5199704170227051, 0.520195335149765, 0.5202354788780212, 0.5196238160133362, 0.5200983285903931, 0.5192170441150665, 0.518768310546875, 0.5188312530517578, 0.5189430415630341, 0.5186751484870911, 0.5182332992553711, 0.5180178284645081, 0.5179151594638824, 0.5178966224193573, 0.5183316171169281, 0.518092006444931, 0.518046647310257, 0.516941100358963, 0.5174065828323364, 0.5173023641109467, 0.5174871385097504, 0.5178124308586121, 0.5180381238460541, 0.5185015797615051]	39368	0.8137968943245844	0.8105081013056473
Arabic	POS	bert-base-multilingual-cased	last	0	2000	200	[1.3896522521972656, 0.8829923272132874, 0.7314351797103882, 0.6663786172866821, 0.629036158323288, 0.6072682738304138, 0.5925686061382294, 0.5824839770793915, 0.574395626783371, 0.5677326917648315, 0.5616730749607086, 0.5577645003795624, 0.553778886795044, 0.5508094727993011, 0.5479130446910858, 0.5455377101898193, 0.543270617723465, 0.5408547222614288, 0.5391261279582977, 0.5381439626216888, 0.5362772643566132, 0.5354093611240387, 0.5339677929878235, 0.5326171815395355, 0.5315222144126892, 0.5300699174404144, 0.5293426811695099, 0.5283933281898499, 0.5275795757770538, 0.5270801186561584, 0.5265842974185944, 0.5267666280269623, 0.5255664587020874, 0.5248677432537079, 0.5237670838832855, 0.5232771635055542, 0.5228383541107178, 0.5224818289279938, 0.5215146541595459, 0.5208351612091064, 0.520691990852356, 0.5213951766490936, 0.5208094120025635, 0.5198231041431427, 0.5189788639545441, 0.5188741385936737, 0.5185514092445374, 0.5185205042362213, 0.5186076164245605, 0.5178305506706238, 0.5178036689758301, 0.5180703103542328, 0.5168370306491852, 0.517375111579895, 0.5170662701129913, 0.5171578228473663, 0.5164332091808319, 0.5165364742279053, 0.5162645280361176, 0.5160036981105804, 0.5161277949810028, 0.5162900388240814, 0.516369104385376, 0.516170084476471, 0.5155108571052551, 0.5161072313785553, 0.5156276822090149, 0.515935868024826, 0.5159538388252258, 0.5151743590831757, 0.5157457292079926, 0.515585720539093, 0.5166191458702087, 0.5169069766998291]	39368	0.8159956025834822	0.8103193330187195
Arabic	POS	bert-base-multilingual-cased	first	1	2000	200	[1.3205986022949219, 0.935370922088623, 0.8095303475856781, 0.7461020052433014, 0.7096224725246429, 0.6837628781795502, 0.6640744209289551, 0.6476776897907257, 0.6346302330493927, 0.623941957950592, 0.6150608956813812, 0.6071751713752747, 0.5996796488761902, 0.5947115123271942, 0.5893896222114563, 0.5845601558685303, 0.5808707475662231, 0.5780778229236603, 0.5740377902984619, 0.5708906054496765, 0.5692086815834045, 0.5664248764514923, 0.5635485053062439, 0.5614660978317261, 0.5588431656360626, 0.5579467117786407, 0.5557185113430023, 0.5545246601104736, 0.5527910590171814, 0.5507693886756897, 0.5493936538696289, 0.5475380718708038, 0.5456621646881104, 0.5445425808429718, 0.5434297025203705, 0.5423989593982697, 0.5416637361049652, 0.5408593416213989, 0.5390850603580475, 0.538223534822464, 0.5369580388069153, 0.5359236896038055, 0.5354725420475006, 0.5335160791873932, 0.5345702767372131, 0.5330015420913696, 0.5323258936405182, 0.5313273370265961, 0.5304699838161469, 0.5291446149349213, 0.52823805809021, 0.5272063314914703, 0.5276514291763306, 0.5262215733528137, 0.5257459878921509, 0.5260139107704163, 0.5237474143505096, 0.5230186879634857, 0.5230469703674316, 0.5227331221103668, 0.5219692885875702, 0.5209965407848358, 0.5210138559341431, 0.5213248133659363, 0.5215138792991638, 0.519769012928009, 0.5192079544067383, 0.5196278691291809, 0.5191760361194611, 0.5182438492774963, 0.5185251832008362, 0.5171940326690674, 0.5178737640380859, 0.5158896148204803, 0.5164442360401154, 0.51590695977211, 0.5162236392498016, 0.5153650343418121, 0.5144301354885101, 0.5150675475597382, 0.5152809321880341, 0.514346569776535, 0.5127153992652893, 0.5132047533988953, 0.5119690299034119, 0.5129587352275848, 0.511003166437149, 0.5108155310153961, 0.5118230879306793, 0.5108942091464996, 0.5101311504840851, 0.511477530002594, 0.5096406042575836, 0.5101902186870575, 0.5100144445896149, 0.5095534324645996, 0.5091626048088074, 0.509386420249939, 0.5088165402412415, 0.5083626806735992]	39368	0.8186065686409234	0.8178720668595307
Arabic	POS	bert-base-multilingual-cased	first	1	2000	200	[1.2672419548034668, 0.9143340885639191, 0.7915857434272766, 0.7364196479320526, 0.7014987468719482, 0.6769135296344757, 0.6585001945495605, 0.6432834565639496, 0.6317429542541504, 0.621857613325119, 0.6127509772777557, 0.6064667403697968, 0.5999120473861694, 0.5956824421882629, 0.5902298390865326, 0.5860308110713959, 0.583870142698288, 0.5788232088088989, 0.57725390791893, 0.574726402759552, 0.5723189413547516, 0.5694267451763153, 0.5671829283237457, 0.5640498399734497, 0.5629449784755707, 0.5623277425765991, 0.5602310299873352, 0.5588119924068451, 0.5568890571594238, 0.5556182861328125, 0.5556405186653137, 0.553683876991272, 0.5527326166629791, 0.5504556894302368, 0.5496900975704193, 0.5486404001712799, 0.5469161868095398, 0.5453251600265503, 0.5450910031795502, 0.5439760088920593, 0.543222039937973, 0.540951132774353, 0.5405748188495636, 0.5405150949954987, 0.5396642088890076, 0.5381772518157959, 0.5376299917697906, 0.5377127230167389, 0.5379262566566467, 0.5353884398937225, 0.5356941521167755, 0.5331848859786987, 0.5329654812812805, 0.5323545038700104, 0.5317004323005676, 0.5304495692253113, 0.5295753479003906, 0.5293274521827698, 0.5290979146957397, 0.5280702114105225, 0.5274713635444641, 0.5283234417438507, 0.5274752974510193, 0.5257447361946106, 0.5247493088245392, 0.5239114761352539, 0.5245667695999146, 0.5230298638343811, 0.522131621837616, 0.5228966474533081, 0.5217402279376984, 0.5210148096084595, 0.5203889012336731, 0.5217364728450775, 0.5199772715568542, 0.5206277370452881, 0.5199701189994812, 0.5196939706802368, 0.5189814269542694, 0.5180442035198212, 0.5174281597137451, 0.5162083804607391, 0.5173311233520508, 0.5162061750888824, 0.5152222812175751, 0.5148949325084686, 0.5160113275051117, 0.5135097205638885, 0.5143569707870483, 0.5147369503974915, 0.5131878554821014, 0.5137936770915985, 0.5142223238945007, 0.5134977400302887, 0.5117855668067932, 0.5106875002384186, 0.5106913447380066, 0.5113279521465302, 0.5100585222244263, 0.5091072916984558]	39368	0.8202555998350969	0.8221173509517068
Arabic	POS	bert-base-multilingual-cased	first	1	2000	200	[1.3608141541481018, 0.943307489156723, 0.8163786232471466, 0.7502323091030121, 0.7122778296470642, 0.6860368251800537, 0.665742814540863, 0.6495194137096405, 0.6358288526535034, 0.6251664757728577, 0.6159848868846893, 0.6082293391227722, 0.6018404364585876, 0.596504271030426, 0.5911145508289337, 0.5871028900146484, 0.5831551849842072, 0.5799040794372559, 0.5767924189567566, 0.5745828151702881, 0.5714316070079803, 0.5689976811408997, 0.566930741071701, 0.5647430717945099, 0.5640307664871216, 0.5620648860931396, 0.56004399061203, 0.5590079724788666, 0.5572509169578552, 0.5565990209579468, 0.5548450350761414, 0.5531827211380005, 0.552755743265152, 0.5512303709983826, 0.549983561038971, 0.5478962957859039, 0.5477086305618286, 0.546318531036377, 0.5462486445903778, 0.5442602932453156, 0.5427379012107849, 0.5426890850067139, 0.5412653088569641, 0.5397818386554718, 0.538865327835083, 0.5372951030731201, 0.5376250743865967, 0.5367818772792816, 0.5356171429157257, 0.5357646346092224, 0.5343358814716339, 0.5332272350788116, 0.5320184826850891, 0.5320008993148804, 0.5308055281639099, 0.5298845171928406, 0.5304564535617828, 0.5301820933818817, 0.5287210643291473, 0.5279269814491272, 0.5283352732658386, 0.5266572535037994, 0.5261953175067902, 0.5270472764968872, 0.5267171263694763, 0.5265331864356995, 0.5256899893283844, 0.5250914990901947, 0.5232913494110107, 0.5242003202438354, 0.5232719480991364, 0.5232889652252197, 0.5209826231002808, 0.5222960114479065, 0.5211122334003448, 0.5215593874454498, 0.521876722574234, 0.521317183971405, 0.5194552838802338, 0.5192100703716278, 0.5187134742736816, 0.5189530551433563, 0.5186107754707336, 0.5174058377742767, 0.5182484686374664, 0.5168847739696503, 0.5174191296100616, 0.5179474651813507, 0.5162028968334198, 0.5162783265113831, 0.5163337588310242, 0.516572892665863, 0.5154463052749634, 0.515413224697113, 0.5151062905788422, 0.5159302949905396, 0.5141685605049133, 0.514201283454895, 0.5142455101013184, 0.5126325786113739]	39368	0.8183317301085612	0.8215195847097687
Arabic	POS	bert-base-multilingual-cased	last	1	2000	200	[1.3260509371757507, 0.812196284532547, 0.6723294258117676, 0.6045405268669128, 0.5654821395874023, 0.5401753485202789, 0.5230128169059753, 0.5092185437679291, 0.49911269545555115, 0.4898027032613754, 0.48157913982868195, 0.4753907769918442, 0.46957753598690033, 0.4653417766094208, 0.46061424911022186, 0.45610927045345306, 0.4521572142839432, 0.4489375352859497, 0.44546137750148773, 0.4423123896121979, 0.4396696835756302, 0.436854749917984, 0.43411774933338165, 0.43193572759628296, 0.4292396456003189, 0.4258382022380829, 0.4236098527908325, 0.4222274571657181, 0.42008301615715027, 0.4186123311519623, 0.41646604239940643, 0.4134794622659683, 0.4113612174987793, 0.4114885777235031, 0.41023457050323486, 0.4076117277145386, 0.4063073396682739, 0.40529829263687134, 0.4036184549331665, 0.40292350947856903, 0.402565598487854, 0.40167370438575745, 0.3989862948656082, 0.39871373772621155, 0.39590099453926086, 0.39610281586647034, 0.3956073969602585, 0.39384743571281433, 0.39381931722164154, 0.39253029227256775, 0.3918694108724594, 0.3915894478559494, 0.39018507301807404, 0.39055539667606354, 0.38945716619491577, 0.38869208097457886, 0.38766276836395264, 0.38728611171245575, 0.3863571882247925, 0.3851524740457535, 0.38610394299030304, 0.3847382962703705, 0.38320593535900116, 0.3824402689933777, 0.38267260789871216, 0.38279402256011963, 0.38041889667510986, 0.38148579001426697, 0.37904582917690277, 0.37756679952144623, 0.3783090263605118, 0.37865641713142395, 0.3785784840583801, 0.3790030777454376, 0.37764936685562134, 0.37536589801311493, 0.37581485509872437, 0.3752189427614212, 0.37538476288318634, 0.37515081465244293, 0.37618856132030487, 0.3752702325582504, 0.37623724341392517, 0.37557944655418396, 0.37483827769756317]	39368	0.8702762127250241	0.8601092896174863
